time,local_date,pm10,pm25,no2,o3,so2,co_conc,nmvoc,no
8,2023-10-02T08:00:00+00:00,31.512054,19.155565,37.01449,11.625385,10.980898,410.5986,47.699738,15.690773
12,2023-10-02T12:00:00+00:00,26.324406,16.22667,24.810936,55.22728,5.82083,346.66092,33.828674,7.2150664
16,2023-10-02T16:00:00+00:00,27.377617,18.018612,25.019054,73.759575,7.08404,332.0033,42.59226,2.364672
8,2023-10-03T08:00:00+00:00,14.983698,8.328571,17.342386,45.772175,5.0094967,269.5505,17.548553,1.97997
12,2023-10-03T12:00:00+00:00,8.053689,3.4510787,10.826802,60.90072,3.981995,261.09348,14.615713,2.4231496
16,2023-10-03T16:00:00+00:00,11.398904,5.0451894,16.10816,71.367165,4.5129128,226.78055,14.670871,2.178016
8,2023-10-04T08:00:00+00:00,18.106798,8.992493,24.635654,24.080017,7.294154,311.59384,21.893435,8.046626
12,2023-10-04T12:00:00+00:00,16.797916,8.217057,14.865974,47.922142,5.6392083,288.64996,15.426572,3.6082425
16,2023-10-04T16:00:00+00:00,16.095554,6.538832,16.523748,47.85072,5.1208386,300.4706,14.679465,2.7515128
8,2023-10-05T08:00:00+00:00,16.851116,8.674309,26.307674,26.44083,7.550142,327.11032,20.455357,3.965738
12,2023-10-05T12:00:00+00:00,16.23508,7.821398,20.981161,41.201668,8.069496,333.7861,20.015856,5.122196
16,2023-10-05T16:00:00+00:00,15.240735,6.5976977,17.821787,51.099216,8.398851,311.24863,19.774328,3.3251126
8,2023-10-06T08:00:00+00:00,17.617914,9.582183,23.94386,30.372927,6.3536234,320.94952,33.07892,6.7429724
12,2023-10-06T12:00:00+00:00,19.740131,10.799478,16.19278,52.710094,6.03405,287.24323,26.44953,4.7491426
16,2023-10-06T16:00:00+00:00,21.623032,9.57365,17.730927,66.40592,5.2890882,289.41205,20.303799,2.016229
8,2023-10-07T08:00:00+00:00,16.199472,9.665418,18.0421,43.630615,6.004482,263.34085,14.514043,2.5638657
12,2023-10-07T12:00:00+00:00,19.28359,9.000554,11.017337,64.27248,5.4263215,262.63596,11.7114105,4.5695853
16,2023-10-07T16:00:00+00:00,22.537724,8.571081,13.715703,73.67134,5.0840755,243.6639,14.490388,1.849891
8,2023-10-08T08:00:00+00:00,21.52683,12.769931,30.146946,13.442331,11.918985,355.905,37.34276,23.57619
12,2023-10-08T12:00:00+00:00,29.105452,14.141623,23.267332,39.00764,9.860742,304.39124,30.473278,12.344338
16,2023-10-08T16:00:00+00:00,28.31743,12.868874,24.407953,43.942123,8.3291025,283.2296,29.04808,5.1051073
8,2023-10-09T08:00:00+00:00,42.311428,27.93773,42.611305,12.707922,10.26757,389.91357,38.76605,12.696688
12,2023-10-09T12:00:00+00:00,34.52894,20.782923,32.706562,32.341084,10.337779,284.17215,28.813002,11.128764
16,2023-10-09T16:00:00+00:00,28.980734,14.54503,42.498116,35.99788,11.516306,260.42426,33.388584,6.9984765
8,2023-10-10T08:00:00+00:00,31.065287,19.997787,38.15217,16.464106,8.917576,344.6308,38.51507,9.601507
12,2023-10-10T12:00:00+00:00,25.045868,12.211181,22.235924,56.767635,7.949022,275.89606,29.777985,6.1984706
16,2023-10-10T16:00:00+00:00,26.703045,10.067032,23.711304,69.97031,5.7890816,236.28908,32.19478,1.7820696
8,2023-10-11T08:00:00+00:00,30.468254,14.383361,24.064644,45.1087,6.0051007,263.94547,20.62252,2.5623167
12,2023-10-11T12:00:00+00:00,40.02339,19.549278,15.2577915,56.754665,4.8500113,229.76857,17.483406,3.4423616
16,2023-10-11T16:00:00+00:00,39.27076,14.849358,21.727993,57.816246,4.878179,239.71584,19.337103,1.5556481
8,2023-10-12T08:00:00+00:00,21.698364,13.996376,25.112066,28.449818,4.265772,234.77922,30.908741,5.448328
12,2023-10-12T12:00:00+00:00,24.002892,12.181539,20.481892,34.39751,4.6085234,223.20105,26.511652,4.633111
16,2023-10-12T16:00:00+00:00,18.95759,11.00283,23.826487,23.340183,4.5492997,232.22685,22.01713,2.6484485
8,2023-10-13T08:00:00+00:00,28.44074,12.380877,15.736699,34.793503,3.2527084,184.73315,17.818247,1.3096724
12,2023-10-13T12:00:00+00:00,39.942413,17.220728,11.786477,57.95178,3.46472,194.87503,23.54325,2.176364
16,2023-10-13T16:00:00+00:00,34.158062,14.284396,13.7057705,54.071583,2.9504364,169.95973,15.488483,0.63009155
8,2023-10-14T08:00:00+00:00,16.210608,6.592971,18.918684,38.906853,4.9294615,224.15674,9.895355,3.769216
12,2023-10-14T12:00:00+00:00,15.891265,6.1000137,8.803426,57.118122,3.4475107,214.4634,7.101429,3.3659124
16,2023-10-14T16:00:00+00:00,12.063566,5.035136,14.983895,54.28249,3.9244769,222.58617,7.8828692,1.768683
8,2023-10-15T08:00:00+00:00,7.49759,3.615464,12.841182,45.41874,5.596604,228.55293,10.891673,1.9972503
12,2023-10-15T12:00:00+00:00,8.737231,3.3357968,7.786684,60.86405,3.7647965,214.04555,5.8919077,2.1167855
16,2023-10-15T16:00:00+00:00,9.196801,3.9108322,10.961245,55.119663,4.4407,223.56958,8.301601,1.5966233
8,2023-10-16T08:00:00+00:00,22.302954,15.928391,41.53105,1.5399656,26.650398,552.97375,90.6703,94.24147
12,2023-10-16T12:00:00+00:00,11.920082,5.5904155,20.470894,43.195774,7.226343,291.45123,24.727758,8.8026495
16,2023-10-16T16:00:00+00:00,10.536166,4.5874,14.144416,48.09535,3.452316,272.70996,22.808708,2.153751
8,2023-10-17T08:00:00+00:00,17.01912,11.412532,22.818798,22.70937,3.7511322,348.59366,37.229443,5.6954265
12,2023-10-17T12:00:00+00:00,10.73833,6.109205,14.547444,47.922142,3.316117,229.77007,20.155642,5.7851963
16,2023-10-17T16:00:00+00:00,11.640224,4.7142982,17.962963,47.70678,3.9817681,251.44174,25.43265,2.1700935
8,2023-10-18T08:00:00+00:00,14.153291,8.941669,23.54542,22.715117,3.204093,297.247,32.779514,3.6861393
12,2023-10-18T12:00:00+00:00,14.75044,8.187186,17.118168,34.219162,2.2303936,249.77211,27.503517,4.7790275
16,2023-10-18T16:00:00+00:00,18.480957,8.868733,19.383175,39.812996,3.239279,246.39462,25.26275,1.8324897
8,2023-10-19T08:00:00+00:00,13.887666,6.2369285,21.479881,32.116493,3.0675552,236.0989,22.617903,3.11001
12,2023-10-19T12:00:00+00:00,13.842737,6.3332853,13.4306135,38.506016,1.6395454,210.47678,17.243195,2.6473129
16,2023-10-19T16:00:00+00:00,9.083992,3.5742004,12.91524,36.12041,2.3063364,201.21164,21.199293,2.1929338
8,2023-10-20T08:00:00+00:00,12.02006,7.751524,17.173082,15.272235,1.4926817,244.28894,26.92428,2.599421
12,2023-10-20T12:00:00+00:00,6.7196937,3.9794693,19.06953,23.128351,4.6620765,247.8812,29.914766,4.5511117
16,2023-10-20T16:00:00+00:00,10.813839,6.00994,22.698492,32.872932,4.872739,236.98795,27.858694,2.6739998
8,2023-10-21T08:00:00+00:00,6.484237,2.9345276,8.488868,49.202656,2.622607,197.27008,11.359984,1.2432792
12,2023-10-21T12:00:00+00:00,11.620558,4.9186244,5.5361114,70.02394,1.824759,193.79568,6.091566,0.8924862
16,2023-10-21T16:00:00+00:00,10.51367,4.5467887,8.564604,61.665447,1.793494,212.56091,6.9874983,0.44143534
8,2023-10-22T08:00:00+00:00,8.755325,4.698744,15.352173,25.033953,4.942125,249.47963,18.145054,2.80588
12,2023-10-22T12:00:00+00:00,7.463086,4.5545287,9.417949,44.25953,4.2319026,245.20477,12.740255,3.749406
16,2023-10-22T16:00:00+00:00,8.556963,4.9001412,16.114399,36.83567,5.4642415,249.67128,16.959536,3.2323442
8,2023-10-23T08:00:00+00:00,15.373018,9.453288,23.305418,5.441521,3.409241,308.43423,47.54124,16.676552
12,2023-10-23T12:00:00+00:00,14.875013,8.016183,17.382326,35.810604,3.059668,221.84619,27.035843,4.808864
16,2023-10-23T16:00:00+00:00,16.52478,8.64452,24.303944,22.320074,3.814705,245.7632,28.952303,1.8759749
8,2023-10-24T08:00:00+00:00,13.375159,9.15513,22.005327,29.808039,5.055331,225.00519,27.686094,2.592472
12,2023-10-24T12:00:00+00:00,8.91141,5.379212,18.748661,34.905266,4.1956215,240.0254,27.850157,4.218285
16,2023-10-24T16:00:00+00:00,10.143369,4.1075706,19.763433,50.136616,4.29511,240.03583,14.627429,1.4514896
8,2023-10-25T08:00:00+00:00,9.607168,4.443791,19.021332,23.551176,1.5425162,233.55554,23.864227,1.2335662
12,2023-10-25T12:00:00+00:00,6.6689267,4.292538,21.683573,23.195215,1.2514693,212.49573,26.647472,3.3433175
16,2023-10-25T16:00:00+00:00,9.582874,5.204979,35.618088,7.2269993,5.448811,269.12302,38.438236,8.670995
8,2023-10-26T08:00:00+00:00,21.048616,15.2211895,26.129345,7.563358,3.8417625,345.58582,51.18047,10.004939
12,2023-10-26T12:00:00+00:00,16.926788,11.490513,20.7864,23.758509,2.512337,262.20496,30.725744,7.9473705
16,2023-10-26T16:00:00+00:00,12.524192,7.8251176,26.251883,18.7465,3.8533018,273.96542,39.169147,4.4780817
8,2023-10-27T08:00:00+00:00,14.782591,10.312261,31.43441,13.133552,9.679752,271.81155,26.11057,4.079084
12,2023-10-27T12:00:00+00:00,11.677413,6.4634957,16.774857,38.174503,4.100158,209.35146,20.463236,3.7359245
16,2023-10-27T16:00:00+00:00,8.827563,4.037451,19.961443,44.678017,3.4401922,223.26286,17.433851,1.3033059
8,2023-10-28T08:00:00+00:00,9.724999,5.0573034,11.87639,48.322136,2.8510385,186.9783,10.040557,0.77323395
12,2023-10-28T12:00:00+00:00,11.38394,5.983459,8.162886,61.202263,2.7260826,193.39096,7.749037,1.6783437
16,2023-10-28T16:00:00+00:00,11.969898,5.832902,15.1624565,54.83098,2.9284308,239.57477,10.564321,0.9053593
8,2023-10-29T08:00:00+00:00,9.826507,4.0159345,6.768847,60.799244,3.1759555,191.96317,6.1643324,0.7540919
12,2023-10-29T12:00:00+00:00,11.459179,4.9617534,7.1853633,61.252308,2.4010623,181.84015,7.8860574,1.2243371
16,2023-10-29T16:00:00+00:00,6.7980146,2.493839,9.662475,57.788467,2.9376822,191.27995,7.5697412,0.53838533
8,2023-10-30T08:00:00+00:00,12.3093605,5.6792345,23.504751,32.070843,3.4325066,249.8268,23.5607,2.3849401
12,2023-10-30T12:00:00+00:00,10.680735,5.5252028,17.998724,35.638363,2.3265443,241.37463,18.813677,3.4238474
16,2023-10-30T16:00:00+00:00,9.418873,4.6666684,21.257002,35.84677,1.4812298,234.91873,33.09572,3.3937795
8,2023-10-31T08:00:00+00:00,14.805784,9.369284,25.16608,23.372309,6.621578,285.84662,25.902557,4.9563127
12,2023-10-31T12:00:00+00:00,14.438554,8.662443,15.499257,34.125347,5.489717,254.22545,21.433434,5.802291
16,2023-10-31T16:00:00+00:00,10.831699,6.1001024,20.4176,26.41668,4.264216,263.6264,23.798887,1.5971721
